brand,name,price,store
apple,iPhone 13 Pro,"S$1,649",Official
apple,iPhone 13,"S$1,149",Official
apple,iPhone 12,S$979,Official
apple,iPhone SE,S$649,Official
apple,iPhone 11,S$799,Official
asus,ASUS Zenfone 8 ZS590KS-2A058WW (Obsidian Black),S$999.00,Official
asus,ROG Phone 5s ZS676KS-1A085WW (Phantom Black),"S$1,599.00",Official
asus,ROG Phone 5s ZS676KS-1B086WW (Storm White),"S$1,599.00",Official
asus,ROG Phone 5s Pro ZS676KS-1A047WW,"S$1,799.00",Official
sony,Xperia PRO-I,"S$ 2,299.00",Official
sony,Xperia 1 III,"S$ 1,899.00",Official
sony,Xperia 5 III,"S$ 1,499.00",Official
sony,Xperia 10 III,S$ 649.00,Official
sony,Xperia 5 II,"S$ 1,349.00",Official
sony,Xperia 1 II,"S$ 1,599.00",Official
sony,Xperia 10 II,S$ 519.00,Official
